question,answer,prediction,precision,recall,f1,hash
甘雨是什么身份?,甘雨是玉京台、月海亭秘书,甘雨是玉京台、月海亭秘书,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芭芭拉的元素属性是什么?,水元素,元素风,0.6730340719223022,0.6705834269523621,0.6718065738677979,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问香菱女士来自哪里?",香菱来自璃月,"香菱来自璃月
香菱来自璃月",0.8492500185966492,0.8783183097839355,0.8635395765304565,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"罗莎莉亚女士,她是男孩还是女孩？",罗莎莉亚是女性,罗莎莉亚，女性,0.932026207447052,0.932026207447052,0.932026207447052,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
优菈是男还是女啊,优菈是女性,优菈是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪奥娜女士的元素是什么?,冰元素,元素冰,0.7841267585754395,0.7841267585754395,0.7841267585754395,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
珊瑚宫心海的元素是什么?,水元素,珊瑚宫心海的元素是水元素,0.6338807344436646,0.8302059769630432,0.718880295753479,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
阿贝多的性格特点是啥?,痴迷实验与炼金术,"阿贝多,实验公务",0.6173969507217407,0.6119377017021179,0.6146552562713623,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
烟绯是什么身份?,烟绯是律法咨询师,烟绯是律法咨询师,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问可莉女士有什么性格特点呢?","可莉,喜欢放火烧山，炸弹，城里放炮，禁闭时间加倍","可莉,喜欢放火烧山，炸弹，城里放炮，禁闭时间加倍",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
宵宫女士的职业是什么?,宵宫是烟花专家，烟花点「长野原」衣钵继承人,宵宫是烟花专家，烟花点「长野原」衣钵继承人,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
行秋的职责是什么?,行秋是飞云商会少爷,行秋是飞云商会少爷,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
阿贝多先生的工作是什么?,阿贝多是炼金术士,阿贝多是炼金术士,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
艾尔海森能控制什么元素力?,艾尔海森控制草元素,艾尔海森控制草元素,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
赛诺有什么性格特征?,严格执法，保护教令院的规矩,"赛诺,严格执法，保护教令院的规矩",0.8930255174636841,0.9652485847473145,0.9277336001396179,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问珊瑚宫心海女士来自哪里?",珊瑚宫心海来自稻妻,珊瑚宫心海来自稻妻,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪奥娜的工作是什么?,迪奥娜是调酒师,迪奥娜是调酒师,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
班尼特先生会用哪种元素?,火元素,班尼特用火元素,0.6870261430740356,0.9119155406951904,0.7836556434631348,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,烟绯女士使用哪种元素?",火元素,"烟绯使用火元素
烟绯,火元素",0.7055805921554565,0.8473993539810181,0.7700145244598389,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
辛焱女士来自什么国家?,辛焱来自璃月,"辛焱来自璃月
辛焱来自璃月",0.8253868818283081,0.849582314491272,0.8373098373413086,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
雷泽用的是什么元素?,雷元素,雷泽使用雷元素,0.7451603412628174,0.876441240310669,0.8054866790771484,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
行秋会用哪种元素?,水元素,"行秋使用水元素
行秋使用水元素",0.6329042911529541,0.814614474773407,0.7123541831970215,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"甘雨女士,来自何方?",甘雨来自璃月,甘雨来自璃月,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
砂糖的工作是什么?,砂糖是研究者,砂糖是摇滚艺术家,0.7292653322219849,0.7904723882675171,0.7586362957954407,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪奥娜会用哪种元素?,冰元素,冰元素,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
柯莱女士从哪里来的?,柯莱来自须弥,柯莱来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
珐露珊是什么性格?,"珐露珊,高深秘密，喜欢引起人们的好奇心","珐露珊,高深秘密，眼光锐利，能抓住商机",0.7897052764892578,0.7836246490478516,0.7866532206535339,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
安柏的元素是什么?,火元素,安柏是火元素,0.7293137311935425,0.9124908447265625,0.8106837272644043,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
多莉的工作是什么?,多莉是无所不有的超级大商人,多莉是无所不有的超级大商人,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
达达利亚是男还是女啊,达达利亚是男性,达达利亚是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问莫娜女士有什么性格特点呢?","莫娜,朴素的生活，热爱占星术","莫娜,朴素的生活，热爱占星术",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
班尼特先生是什么性别？,班尼特是男性,班尼特是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夜兰是男还是女啊,夜兰是女性,夜兰是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
白术是男孩还是女孩？,白术是男性,白术是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芭芭拉是男还是女啊,芭芭拉是女性,芭芭拉是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
珐露珊来自哪个国家?,珐露珊来自须弥,珐露珊来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
艾尔海森是什么身份?,艾尔海森是教令院现任书记官,艾尔海森是教令院现任书记官,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
妮露女士来自什么国家?,妮露来自须弥,妮露来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夜兰是什么性格?,"夜兰,神秘，变幻无常，喜欢搅动情况，无法被摸清意图","夜兰,神秘，变幻无常，喜欢搅动情况，无法被摸清意图",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
鹿野院平藏使用哪种元素?,风元素,鹿野院平藏使用风元素,0.6455888748168945,0.9000170230865479,0.7518617510795593,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
雷泽先生是什么身份?,雷泽是狼少年,雷泽是狼少年,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
凯亚先生是什么性别？,凯亚是男性,"凯亚是男性
凯亚是男性",0.8653179407119751,0.8950883746147156,0.8799514174461365,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问砂糖有什么性格特点呢?","砂糖,乐衷于做实验","砂糖,乐衷于做实验",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
久岐忍什么元素?,雷元素,"雷元素
久岐忍使用雷元素
雷元素师
专业眼光，善于抓住商机",0.5265302658081055,0.692334771156311,0.5981552004814148,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
北斗的元素属性是什么?,雷元素,好，北斗是水元素,0.5778149366378784,0.7007497549057007,0.6333722472190857,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
流浪者的元素是什么?,风元素,元素风,0.7917822003364563,0.7917822003364563,0.7917822003364563,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
胡桃女士来自什么国家?,胡桃来自璃月,璃月,0.8276073932647705,0.6011935472488403,0.6964612007141113,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
重云是什么性格?,渴望证明自己的实力，不依赖「纯阳之体」,"重云,渴望证明自己的实力",0.8301246166229248,0.734511137008667,0.7793964743614197,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
久岐忍使用的元素是什么?,雷元素,"久岐忍使用雷元素
久岐忍使用雷元素",0.6027390956878662,0.7608543634414673,0.6726295948028564,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问林尼的性别是什么？,林尼是男性,林尼是魔术演员,0.6977168917655945,0.7872524857521057,0.739785373210907,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问珊瑚宫心海的性别是什么？,珊瑚宫心海是女性,珊瑚宫心海是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
艾尔海森先生是什么性格的人?,"艾尔海森,喜欢保持低调，自由自在地做自己想做的事情。","艾尔海森,教令院璃月院的首领
艾尔海森是璃月的首领",0.6522414684295654,0.5806806087493896,0.6143842935562134,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问刻晴的身份是什么？,刻晴是官员，负责政务管理和军队统领,刻晴是官员,0.8941403031349182,0.656488299369812,0.7571027874946594,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
魈是男还是女啊,魈是男性,魈是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
琳妮特会用哪种元素?,风元素,琳妮特用风元素,0.6788687109947205,0.9088128209114075,0.777189314365387,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
宵宫的元素属性是什么?,火元素,元素火,0.791627049446106,0.7916269898414612,0.7916269898414612,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,久岐忍女士使用哪种元素?",雷元素,"久岐忍使用雷元素
久岐忍,雷元素",0.6172211170196533,0.7733972668647766,0.686539351940155,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
甘雨是男性还是女性？,甘雨是女性,甘雨是女性,0.9999998807907104,0.9999998807907104,0.9999998807907104,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
柯莱的职责是什么?,柯莱是化城郭见习巡林员,柯莱是须弥最强大的魔术师,0.6332788467407227,0.6513116359710693,0.6421686410903931,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪希雅女士从哪里来的?,迪希雅来自须弥,迪希雅来自须弥,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲谢尔的性格特点是啥?,有些幻想症的中二少女,"菲谢尔,有些幻想症的中二少女",0.8377549052238464,0.9545049667358398,0.8923272490501404,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪希雅使用哪种元素?,火元素,迪希雅使用火元素,0.6807783246040344,0.8880661725997925,0.7707279920578003,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫华女士来自什么国家?,神里绫华来自稻妻,神里绫华来自稻妻,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
申鹤有什么性格特征?,淡漠疏远,"申鹤,淡漠疏远",0.765960693359375,0.928000271320343,0.8392304182052612,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲谢尔什么性别,菲谢尔是女性,"菲谢尔是女性
菲谢尔是女性",0.8644896745681763,0.890820324420929,0.8774574398994446,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
艾尔海森先生来自哪个国家?,艾尔海森来自须弥,艾尔海森来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
凯亚的职责是什么?,凯亚是西风骑士团骑兵队长,凯亚是西风骑士团骑兵队长,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问班尼特的性格特点是什么?","班尼特,即使霉运缠身，已然乐观，向往冒险","班尼特,即使霉运缠身，已然乐观，向往冒险",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
琳妮特女士的工作是什么?,琳妮特是魔术师林尼的助手,琳妮特是魔术师林尼的助手,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
优菈女士从哪里来的?,优菈来自蒙德,优菈来自蒙德,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲谢尔的职责是什么?,菲谢尔是断罪之皇女，有伙伴奥兹,菲谢尔是琴女侠团的琴女，摇滚梦想梦想家,0.6752431392669678,0.7168468236923218,0.6954233050346375,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
赛诺会用哪种元素?,雷元素,赛诺使用雷元素,0.694287896156311,0.8676528930664062,0.7713491916656494,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问温迪的国籍是什么？,温迪来自蒙德,温迪来自蒙德,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问早柚女士是做什么工作的?",早柚是「终末番」里的忍者，特殊存在,早柚是「终末番」中的忍者，特殊存在,0.990169882774353,0.990169882774353,0.990169882774353,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
早柚是男人还是女人？,早柚是女性,早柚是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
甘雨女士来自哪个国家?,甘雨来自璃月,甘雨来自璃月,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
重云使用的元素是什么?,冰元素,重云使用冰元素,0.6831263303756714,0.8684089183807373,0.7647044658660889,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"琴女士,是什么性别呢?",琴是女性,琴是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
重云使用什么元素力?,重云使用冰元素,重云使用冰元素,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
温迪从哪里来的?,温迪来自蒙德,温迪来自蒙德,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"可莉女士,是什么性别呢?",可莉是女性,可莉是女性,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莱依拉女士是属于哪个国家的?,莱依拉来自须弥,莱依拉来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
雷泽什么性别,雷泽是男性,雷泽是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
魈先生从哪里来的?,魈来自璃月,魈来自璃月,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
赛诺是什么身份?,赛诺是教令院风纪官，大风纪官,赛诺是教令院风纪官，大风纪官,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
琳妮特的工作是什么?,琳妮特是魔术师林尼的助手,琳妮特是魔术师林尼的助手,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
砂糖女士能控制什么元素力?,风元素,砂糖控制风元素,0.6689932346343994,0.8094068169593811,0.7325320839881897,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莱欧斯利什么性别,莱欧斯利是男性,莱欧斯利是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问烟绯的性别是什么？,烟绯是女性,烟绯是女性,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问神里绫人的性格特点是什么?","神里绫人,认真工作、履行职责的公务人员","神里绫人,认真工作、履行职责的公务人员",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夜兰用的是什么元素?,水元素,夜兰使用水元素,0.6594175100326538,0.8335109353065491,0.73631352186203,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
烟绯来自哪个国家?,烟绯来自璃月,烟绯来自璃月,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问莱欧斯利的国籍是什么？,莱欧斯利来自枫丹,莱欧斯利来自枫丹,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问优菈的性格特点是什么?","优菈,傲娇大姐姐性格","优菈,傲娇大姐姐",0.9646371603012085,0.8905672430992126,0.9261235594749451,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问妮露的性格特征是什么？,"妮露,婀娜、感性、美丽","妮露,婀娜、感性、美丽",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
阿贝多先生的身份是什么?,阿贝多是炼金术士,阿贝多是炼金术士,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
砂糖女士来自什么国家?,砂糖来自蒙德,砂糖来自璃月,0.8043972849845886,0.8014091849327087,0.8029004335403442,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问申鹤女士使用哪种元素?",冰元素,申鹤，风元素,0.6843301057815552,0.7696974277496338,0.7245078086853027,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
达达利亚先生是什么身份?,达达利亚是愚人众执行官,"达达利亚是愚人众执行官
愚人众的隶属官",0.8579420447349548,0.9346960783004761,0.8946759104728699,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问久岐忍的身份是什么？,久岐忍是帮派荒泷派的二把手,久岐忍是帮派荒泷派的二把手,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"雷电将军女士,是什么性别呢?",雷电将军是女性,雷电将军是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
辛焱是什么性格?,"辛焱,直爽豪迈，自信骄傲的少女","辛焱,直爽豪迈，自信骄傲的少女",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
罗莎莉亚是什么性格的人?,"罗莎莉亚,独来独往，单独行动","罗莎莉亚,独来独往，单独行动",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
丽莎女士来自什么国家?,丽莎来自蒙德,蒙德,0.8408271670341492,0.5894736647605896,0.6930646300315857,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夏沃蕾的工作是什么?,夏沃蕾是身背铳枪的特巡队队长,夏沃蕾是岩漠秋海的魔术师，身兼学者的夏沃蕾是魔术师、学者、研究者,0.6584138870239258,0.6929041147232056,0.6752188801765442,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
云堇女士是什么性格?,"云堇,痴迷戏腔","云堇,痴迷戏腔",1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
达达利亚先生是男孩还是女孩？,达达利亚是男性,达达利亚是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问菲谢尔女士是什么职务?",菲谢尔是断罪之皇女，有伙伴奥兹,菲谢尔是断罪之皇女，律法家的少女,0.85471510887146,0.8435651063919067,0.8491035103797913,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
诺艾尔女士是男孩还是女孩？,诺艾尔是女性,"诺艾尔是女性
诺艾尔是女性",0.8703826665878296,0.9007518291473389,0.8853068947792053,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
七七女士的职业是什么?,七七是僵尸,七七是僵尸,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
娜维娅的工作是什么?,娜维娅是刺玫会的年轻会长,娜维娅是刺玫会的年轻会长,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莫娜女士从哪里来的?,莫娜来自蒙德,莫娜来自蒙德,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
卡维先生的职业是什么?,卡维是破产的建筑设计师,卡维是破产的律风行「荒泷」的助手,0.6921078562736511,0.7593228816986084,0.7241590023040771,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
雷电将军什么性格?,带领三奉行统御稻妻,"雷电将军,带领三奉行统御稻妻",0.8122082948684692,0.9312605261802673,0.8676697015762329,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫华的职业是什么?,神里绫华是神里家族公主,神里绫华是鬼族女性，鬼差,0.7562545537948608,0.8161499500274658,0.7850614786148071,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"辛焱女士,她是什么性别？",辛焱是女性,辛焱是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪奥娜女士来自什么国家?,迪奥娜来自蒙德,蒙德,0.8461765050888062,0.5936955213546753,0.697799801826477,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
优菈是什么性格的人?,"优菈,傲娇大姐姐性格","优菈,傲娇大姐姐
优菈,傲娇大姐姐",0.8535359501838684,0.814674973487854,0.8336528539657593,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
甘雨女士是什么身份?,甘雨是玉京台、月海亭秘书,甘雨是玉京台、月海亭秘书,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
砂糖什么性格?,乐衷于做实验,"砂糖,乐衷于做实验",0.8144410252571106,0.9471296668052673,0.8757880330085754,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
柯莱用的是什么元素?,草元素,"柯莱使用草元素
柯莱,草元素",0.6867349147796631,0.8518430590629578,0.7604299187660217,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
多莉的性格特征是什么?,"多莉,热情贪婪，拥有数支赫赫有名的商队，售卖各种奇特商品。","多莉,热情贪婪，拥有数支赫赫有名的商队，售卖各种奇特商品",0.9917025566101074,0.9867630004882812,0.9892266392707825,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
